class, difficulty, helpfulness
ENG495 3 5
CHEMA 3 5
FRE350 5 1
STOCKSCH280 1 1
MATH132H 4 3
SPAN311 3 3
CLASSICS202 5 2
BOTANY 3 5
MATH411 2 5
LEGAL391U 2 5
305 3 2
RESEC162 2 5
COMPLIT131 5 1
CHE120 3 3
PH223 3 4
MISM6200 5 1
ECON311 3 5
ENG329H 3 5
PSYCH391 3 5
JUD391 5 1
JOURN497B 3 5
HONORS201H 2 4
CEE310 2 5
ORGGARDENING 1 1
POLSCI255 3 5
MUS556 4 4
SOC610 4 1
ENG248 3 5
SOC105 2 3
VM131 2 5
FIN403 3 5
COMPSCI198C 4 1
CS688 4 2
COMM118 4 1
MUS100 4 2
BIO559 4 5
PSYCH300 4 4
ECON397 2 4
300 2 5
LEG391G 3 5
ENG112 2 5
ARTHIST-334 5 2
ENG201 3 5
CHEM423 5 1
HIS241 1 5
EDUC210 4 5
MATH235 5 1
info101 1 1
ENVISCI191A 2 1
CEE250 3 5
THEATER105 1 5
PSYCH499D 4 5
CEE357 5 1
POLI121 3 3
SPAN110 2 5
POLISCI255 5 3
CW112 4 1
ANSCI385 4 1
ETRUSCAN 1 5
CHE621 2 4
POLISCI271 2 5
MATH233 4 5
ARTHISTORY 5 1
EDU497I 2 5
AH110 2 4
BIO312 4 2
HTM336 2 3
ART230 3 5
ARTHIST388 3 5
RESEC112 2 5
FFYS191 1 3
COMMDIS530 5 3
RESECON213 5 2
MGT301 3 4
HIS691 4 4
GER111 4 2
ENGL101 1 5
ENGLISH269 3 2
MATH131 2 5
CS514CS614 5 5
ENGLWRIT112H 1 5
NATSCI387 1 1
TOOMANY 5 1
NRC576 3 4
PSYCH383 4 5
EEOS316 3 5
KIN270 3 5
397 5 2
HIST388 2 5
MIE354 4 1
FOODSCI150 5 1
HIST150 3 4
ECON203 4 3
ENG1 1 5
JPN126 3 5
CLASSICS300 3 5
SLHS215 2 5
MIE273 4 1
ANTHRO224 3 5
PSYCH335H 3 5
NUR101 5 5
FYSEM110 3 5
ChE231 5 1
POL4201 3 5
SOC110 2 4
ACCT472 3 1
FRENCH473 3 5
MAR110 5 4
SCAN397 3 5
SOC103B 3 5
CHEM551 3 5
SOC103 2 5
ANSCI421 4 1
ANTHRO205 1 5
BIO548 4 5
HIST392E 4 4
PSYCH335 4 2
CS576 3 5
FRNCH120 2 4
ART220 5 4
SOC401 4 3
SCHMGMT597 4 5
FINANCE405 4 2
EDUC306 2 3
CEE423 2 5
PHI103 5 1
PSYCH2320 1 1
ART220 5 4
WGGS201 1 5
SPORST335 4 2
PHIL164 3 1
201 4 2
CEE260 3 2
MATH370 2 5
MATH235 4 3
MANAG260 1 5
CHE571 2 5
ENG112 2 5
MATH101 1 1
KIN470 2 5
HONORS191 1 5
ENVSCI214 3 4
STATS240 3 3
233 5 1
ENGLWRIT112 3 4
MATH411 5 4
LEC35376 3 5
MIE440 4 5
OIM350 4 5
COMPLIT121 3 5
HIST397RR 3 5
POLISCI397T 4 1
BTC150 1 5
GEO103 1 3
MICRO550 5 1
JUDAI102 2 4
CHEM303 2 1
CHEM111 3 5
MKT301 5 1
SCHMGMT397 1 5
PUBHLTH224 3 3
SOCIO244 3 5
MATH132 3 5
CEE331 3 5
PSYCH480 1 5
OIM350 4 5
BUSINESSLAW 3 5
MUSIC560 1 5
105 5 2
POLISCI317 4 3
BIO372 2 5
ENG122H 2 5
SPAN301 3 5
ENG105 2 5
ENGL112 4 4
ENG115 3 5
ENG112 4 3
MBA 5 3
BIO287 5 1
MIE201 4 1
ECON104 1 2
SOC343 3 5
PUBHLTH290B 2 5
MATH233 4 2
GEO692J 3 5
POLSC101 4 4
1304 1 5
POLISCI111 2 5
PUBHLTH224 2 5
MGT491 2 5
POLISCI297PV 3 5
FRENCH240 2 5
ECE124 3 2
ENGWRIT112 2 5
ECON394EI 2 2
BCT314 3 5
Phil170 4 2
MANAGMNT301 2 3
394SI 4 3
ECON338 3 5
390D 2 2
MKTG350 3 5
COMPSCI689 3 5
ACC222 3 5
GERM110 3 4
MGS 5 2
CHE01 2 5
WR112 4 5
PSYCH391UU 2 5
152 5 1
PHIL499 2 5
SPAN230 2 5
CHE320 5 2
MATH545 3 5
NRC585 3 5
ENGIN351 3 5
SPORT424 3 5
ENG112 3 5
MATH235 3 4
MICRO480 3 1
FFYS 1 1
JOURN390S 4 2
RESECON162 2 4
COMPLIT121 3 5
LSPS228 3 5
CICS110 3 5
HISTORY131 3 4
COMPLIT122 5 3
CSD1111 4 4
SPAN230 1 5
COMMDIS540 2 5
SPCNV301 1 5
MTH107 5 3
LEGAL297 5 1
ENG141 5 5
EDUC115 1 1
HTMGT240 2 4
LIT3702 3 5
LING412 4 4
ART120 3 4
ENG112 3 5
HIST150 2 3
ANTHR369 4 5
ANTHRO100 3 3
PH390J 2 5
JPN135 2 5
NRC126 2 5
ECE331 3 5
523H 4 4
ECON452 3 1
BIOCHEM471 4 1
CS391 2 5
SOC330 2 5
HTM250 4 2
STAT515 4 1
377 3 5
EDUC524 1 5
HONORS499 3 5
ENGWRIT-112 4 2
ENG112 5 1
Math-233 3 3
FIN304 5 1
ASTRO100 2 4
ENG358 3 5
POLI111 2 4
MKT465 2 2
PSY733 4 4
NRC100 1 5
200 2 1
COMM397TV 1 4
ECON201 2 5
COMM121 4 1
SPAN354 4 2
PHILOSOPHY100 4 3
PH630 1 5
ENG200 4 5
WOSST297 4 1
PSYCH240 4 2
ENG112 3 5
ENGWRIT112 1 5
EDU461 5 1
KIN100 2 5
MGMT713 2 3
WGSS187 2 5
GERMAN275 2 5
131 4 5
112 2 5
CEE240 3 5
BCT540 3 2
edu210 4 2
LING401 5 2
CW112 2 4
ENG300 2 5
BIOCHEM275 3 4
SPAN230 3 5
SCHMGMT705 2 5
PORT350799 1 5
ENG118 2 5
ESL290F 1 4
ENG101 3 4
ECON366 2 2
FYP100 3 5
ASTRO101 4 5
H101 3 5
CW112 1 5
FRENC110 1 5
WRITING112 3 5
CW112 2 5
LATIN110 2 5
CHE575 3 2
STAT516 5 5
COMM397GM 5 2
WRI111 3 5
ENG101 3 2
ASTRO101 3 2
CEE476 4 2
HIST154 4 1
OIM240 2 5
ENGLwrit112 3 5
CS383 2 4
UWW305 1 5
Italian201 2 5
FIN-305 3 1
PUBHLTH390 4 3
PHYS421 4 5
LING510 2 5
MGMT330 1 5
PHILOS164 1 5
COMDIS313 2 5
SCANDIN597A 4 5
MUSIC112 3 5
PH494 1 5
PUBH601 4 2
ENG144 1 4
MATH132 2 5
235 2 3
110120 3 5
MATH131 3 4
LITPERSPECTIVE 2 5
ECON103H 3 1
CHE330 4 3
THEAT345 4 5
PUBHLTH324 3 2
PHILOSOPHY100 3 5
LING405 3 5
HIST131 3 3
MGMT260 2 5
ENGWRT112 2 5
PHYS556 4 5
ENGL131 3 5
econ397el 3 2
SPANISH240 3 5
ACCT222 2 5
ANTHRO150 2 5
ENG302 4 1
ENGLISH391NM 3 1
LING201 2 4
ENG112 1 4
FRENCH120 4 3
FIN-405 4 5
ENG112 4 5
OIM454 3 5
ENGLISH-355 2 5
STAT515 4 3
CICS256 3 5
ENGWRIT112 3 3
1341 1 5
SOC302 2 1
HIST120 4 2
SPAN240 1 5
MATH552 3 5
LING591 1 1
WRIT112 5 1
MGT331 3 3
ANSCI372 4 2
CEE310 2 5
TH342 2 5
AFROAM132 4 3
CCPX40201 2 4
CMPSC240 4 3
ENG379 3 5
150H 2 4
HUMAN300 2 5
CRITTHINKING 3 1
WRIT112 5 3
HIST151 3 3
POLSCI214 4 4
HIST154 2 3
MATH132 4 3
PHIL3340 2 5
SPA126 2 5
ENG115 3 4
CEE471 2 4
STAT515H 4 4
KIN350 1 4
KIN110 5 1
ENG140 2 5
CW112 2 5
ENG112 3 3
GER110 2 3
ANTHRO106 1 5
BIO288 3 1
N436 4 5
POL160 4 5
HRMANAGEMENT 2 5
LATIN112 3 5
PHYS133 2 5
ECON103 2 5
ENG112 1 5
ENG112 5 1
COMM260 3 5
SPT375 2 5
OIM305 2 4
BIOCHEM426 4 5
PSYCH397 3 4
EDUC202 3 4
ENVIRSCI-319 3 5
FOODSCI541 3 3
MEF101 4 5
ENGLWRIT112 2 5
MATH411 5 5
EDUC325 1 2
ENG146 2 3
ANTHRO100 4 4
COMM224 4 4
ECO120 3 3
MGMT330 1 5
61071 1 2
EDU229 1 5
N436 1 5
CHEM330 3 5
MUS110 5 3
PHIL105 4 1
180 3 5
ART310 3 5
ENG132 3 1
LING201 2 5
ENGLWRITING112 3 5
EDUC463 4 2
EDU210 2 5
PHYSICS131 4 2
EW111 2 5
EDUC192A 3 5
MUS416 4 5
HRM260 2 4
JOURN300 3 5
BIOL597M 1 5
FRE350 4 3
EDUC325 2 2
572 4 3
AFAM354 1 5
110 2 4
ENG114 2 5
NUR398E 4 4
PORT230 1 5
EDUC377 1 5
ITAL110 3 5
CW112 1 5
HIST154 4 4
EDUC01 4 5
MICRO160 3 3
PORT120 1 1
ENG112 1 5
UCOR101 3 5
RESEC162 2 5
LSEM101 2 4
STAT515 3 2
HTMGT240 2 4
PUBHLTH397 3 4
ECON2020 2 5
ENG132 1 5
ENG142 2 5
COMP121 1 5
240 2 4
EDUC691E628 5 5
HI110 3 5
397GC 2 5
HMFNART191HFA6 1 2
FOODSCI120 2 5
KIN470 3 5
STOCKSCH109 4 5
324 5 1
BIO559 4 5
SOCIOL106 3 2
KOR225 4 4
MKTG-3401 5 1
ENGLIT112 2 5
RUSSIAN297 2 5
LATIN110 1 5
GEO102 4 2
ECE322 3 5
MKT491S 4 2
Ansci456 2 5
EDUC167 2 5
MILITARY290E 2 5
CEE260 4 2
ECON365 1 4
cs360 3 3
ENGLWRIT112 3 5
CHEM250 5 1
Legal357 5 1
ENG141 1 5
Oceanography 1 4
ECON371 4 5
ENGLWRIT-111 1 5
Fin304 3 3
LLC125 2 5
ANTHRO150 3 4
RESECON428 4 5
ECE333 1 1
STAT535 3 1
PHIL336 2 5
BIOST540 4 4
SOCIOL212 3 5
ECON397 3 5
ENG100 3 5
MATH132 3 5
ENG14407 1 3
ENG112 4 5
MIC441 3 1
ART274 5 2
PUBHLTH320 4 2
